##############################################################################
# Effective Area File
# Telescope: WALTZER
# Units: Wavelength [Angstrom], Reflectivity , Dichroic_Eff ,
#        GratingEff , CCD_QE , EffectiveArea 
# Pixel scale: 0.90354
# Secondary obstruction : 15 %
# Notes: Reflectivity based on Pollux and HWO reflectivity
# Grating efficiency based on datasheets
# CCD QE based on datasheets
# Effective area = Telescope_area * Rprim * Rsec * Sec_obstr * R_fold * R_d1 
                *R_d2 * R_visgr * vis_geff * vis_detQE
# Generated on: 2026-02-19
##############################################################################
Wavelength	Reflectivity	Dichroic1_Eff	Dichroic2_Eff	GratingEff	CCD_QE	EffectiveArea_cm2
4739.4383	0.9147	0.8000	0.8000	0.5948	0.8900	212.0126
4740.3419	0.9141	0.8000	0.8000	0.5952	0.8902	211.8088
4741.2454	0.9135	0.8000	0.8000	0.5951	0.8904	211.4208
4742.1490	0.9129	0.8000	0.8000	0.5950	0.8906	211.0333
4743.0525	0.9124	0.8000	0.8000	0.5949	0.8907	210.6463
4743.9560	0.9118	0.8000	0.8000	0.5948	0.8909	210.2597
4744.8596	0.9112	0.8000	0.8000	0.5947	0.8911	209.8736
4745.7631	0.9107	0.8000	0.8000	0.5946	0.8913	209.4879
4746.6667	0.9101	0.8000	0.8000	0.5945	0.8915	209.1027
4747.5702	0.9095	0.8000	0.8000	0.5944	0.8916	208.7179
4748.4737	0.9090	0.8000	0.8000	0.5943	0.8918	208.3335
4749.3773	0.9084	0.8000	0.8000	0.5942	0.8920	207.9497
4750.2808	0.9080	0.8000	0.8000	0.5941	0.8922	207.6875
4751.1844	0.9080	0.8000	0.8000	0.5940	0.8924	207.6946
4752.0879	0.9080	0.8000	0.8000	0.5939	0.8925	207.7016
4752.9915	0.9080	0.8000	0.8000	0.5938	0.8927	207.7086
4753.8950	0.9080	0.8000	0.8000	0.5937	0.8929	207.7156
4754.7985	0.9080	0.8000	0.8000	0.5936	0.8931	207.7225
4755.7021	0.9080	0.8000	0.8000	0.5935	0.8933	207.7295
4756.6056	0.9080	0.8000	0.8000	0.5934	0.8934	207.7364
4757.5092	0.9080	0.8000	0.8000	0.5933	0.8936	207.7434
4758.4127	0.9080	0.8000	0.8000	0.5932	0.8938	207.7503
4759.3162	0.9080	0.8000	0.8000	0.5931	0.8940	207.7572
4760.2198	0.9080	0.8000	0.8000	0.5930	0.8942	207.7641
4761.1233	0.9080	0.8000	0.8000	0.5929	0.8944	207.7710
4762.0269	0.9080	0.8000	0.8000	0.5928	0.8945	207.7778
4762.9304	0.9080	0.8000	0.8000	0.5927	0.8947	207.7847
4763.8339	0.9080	0.8000	0.8000	0.5926	0.8949	207.7915
4764.7375	0.9080	0.8000	0.8000	0.5925	0.8951	207.7983
4765.6410	0.9080	0.8000	0.8000	0.5924	0.8953	207.8051
4766.5446	0.9080	0.8000	0.8000	0.5923	0.8954	207.8119
4767.4481	0.9080	0.8000	0.8000	0.5922	0.8956	207.8187
4768.3516	0.9080	0.8000	0.8000	0.5921	0.8958	207.8254
4769.2552	0.9080	0.8000	0.8000	0.5920	0.8960	207.8322
4770.1587	0.9080	0.8000	0.8000	0.5919	0.8962	207.8389
4771.0623	0.9080	0.8000	0.8000	0.5918	0.8963	207.8456
4771.9658	0.9080	0.8000	0.8000	0.5917	0.8965	207.8523
4772.8694	0.9080	0.8000	0.8000	0.5916	0.8967	207.8590
4773.7729	0.9080	0.8000	0.8000	0.5915	0.8969	207.8657
4774.6764	0.9080	0.8000	0.8000	0.5914	0.8971	207.8723
4775.5800	0.9080	0.8000	0.8000	0.5913	0.8972	207.8790
4776.4835	0.9080	0.8000	0.8000	0.5912	0.8974	207.8856
4777.3871	0.9080	0.8000	0.8000	0.5911	0.8976	207.8922
4778.2906	0.9080	0.8000	0.8000	0.5910	0.8978	207.8988
4779.1941	0.9080	0.8000	0.8000	0.5909	0.8980	207.9054
4780.0977	0.9080	0.8000	0.8000	0.5908	0.8982	207.9120
4781.0012	0.9080	0.8000	0.8000	0.5908	0.8983	207.9548
4781.9048	0.9080	0.8000	0.8000	0.5908	0.8985	208.0049
4782.8083	0.9080	0.8000	0.8000	0.5909	0.8987	208.0549
4783.7118	0.9080	0.8000	0.8000	0.5909	0.8989	208.1050
4784.6154	0.9080	0.8000	0.8000	0.5909	0.8991	208.1551
4785.5189	0.9080	0.8000	0.8000	0.5909	0.8992	208.2051
4786.4225	0.9080	0.8000	0.8000	0.5910	0.8994	208.2552
4787.3260	0.9080	0.8000	0.8000	0.5910	0.8996	208.3053
4788.2295	0.9080	0.8000	0.8000	0.5910	0.8998	208.3554
4789.1331	0.9080	0.8000	0.8000	0.5910	0.9000	208.4055
4790.0366	0.9080	0.8000	0.8000	0.5910	0.9001	208.4556
4790.9402	0.9080	0.8000	0.8000	0.5911	0.9003	208.5057
4791.8437	0.9080	0.8000	0.8000	0.5911	0.9005	208.5557
4792.7473	0.9080	0.8000	0.8000	0.5911	0.9007	208.6058
4793.6508	0.9080	0.8000	0.8000	0.5911	0.9009	208.6560
4794.5543	0.9080	0.8000	0.8000	0.5912	0.9010	208.7061
4795.4579	0.9080	0.8000	0.8000	0.5912	0.9012	208.7562
4796.3614	0.9080	0.8000	0.8000	0.5912	0.9014	208.8063
4797.2650	0.9080	0.8000	0.8000	0.5912	0.9016	208.8499
4798.1685	0.9080	0.8000	0.8000	0.5913	0.9017	208.8786
4799.0720	0.9080	0.8000	0.8000	0.5913	0.9017	208.9073
4799.9756	0.9080	0.8000	0.8000	0.5913	0.9018	208.9359
4800.8791	0.9080	0.8000	0.8000	0.5913	0.9019	208.9646
4801.7827	0.9080	0.8000	0.8000	0.5913	0.9020	208.9933
